policyholder_id,first_name,last_name,date_of_birth,gender,city,province,driving_license_year
PH-5642039C,Silvia,Caracciolo,1976-02-20,F,Bologna,BO,2004
PH-34B64F5F,Alfio,Leone,1991-09-23,M,Sassari,SS,2018
PH-57B779E8,Gioele,Garozzo,1979-03-26,M,Bologna,BO,2001
PH-CBB8BF9A,Claudia,Camicione,1981-06-07,F,Cagliari,CA,2004
PH-FE26638C,Tatiana,Verdone,1997-04-18,F,Milano,MI,2022
PH-4DA2F289,Barbara,Querini,1958-06-26,F,Torino,TO,1987
PH-43D81E3D,Amanda,Baggio,1972-06-02,F,Roma,RM,1995
PH-D6B0D761,Carmelo,Galeati,2000-05-28,M,Padova,PD,2022
PH-5B4DDAC2,Gianpaolo,Tirabassi,1958-10-06,M,Torino,TO,1981
PH-4D42F47A,Alfredo,Zamorani,1971-07-19,M,Firenze,FI,1991
PH-753D653C,Gaetano,Verdone,1985-02-09,M,Perugia,PG,2011
PH-E5FAF2C3,Lucrezia,Galuppi,1996-11-09,F,Parma,PR,2017
PH-B84B625A,Maria,Lettiere,1995-10-01,F,Roma,RM,2015
PH-CE4AE657,Adele,Cuomo,1978-04-22,F,Verona,VR,2004
PH-D428E90B,Piersanti,Morpurgo,1956-03-04,M,Genova,GE,1975
PH-E0CF2FB1,Gianna,Cremonesi,1996-01-22,F,Firenze,FI,2019
PH-12E434E6,Evangelista,Morandini,1959-10-09,F,Genova,GE,1983
PH-C415E21D,Claudio,Cabibbo,2003-04-12,M,Bologna,BO,2021
PH-193838D2,Liliana,Cagnin,1995-11-08,F,Roma,RM,2013
PH-A21155B0,Micheletto,Muratori,1961-07-22,M,Verona,VR,1985
PH-CF8A8C81,Romina,Iannucci,1975-04-05,F,Torino,TO,2002
PH-6600E93F,Antonello,Sauro,1992-09-13,M,Milano,MI,2018
PH-031362F2,Delfino,Pareto,2000-06-20,M,Firenze,FI,2018
PH-BED911F4,Bernardo,Villarosa,1966-09-18,M,Torino,TO,1987
